UID,Channel Name,Purpose
pldi.12,paper-incremental-wholeprogram-analysis-in-datalog-with-lattices,Q&A for the PLDI paper Incremental Whole-Program Analysis in Datalog with Lattices
pldi.21,paper-revamping-hardware-persistency-models,Q&A for the PLDI paper Revamping Hardware Persistency Models: View-Based and Axiomatic Persistency Models for Intel-x86 and Armv8
pldi.25,paper-repairing-serializability-bugs-distributed-database,Q&A for the PLDI paper Repairing Serializability Bugs in Distributed Database Programs via Automated Schema Refactoring
pldi.27,paper-gleipnir,Q&A for the PLDI paper Gleipnir: Toward Practical Error Analysis for Quantum Programs
pldi.30,paper-alive2,Q&A for the PLDI paper Alive2: Bounded Translation Validation for LLVM
pldi.34,paper-transfinite-iris,Q&A for the PLDI paper Transfinite Iris: Resolving an Existential Dilemma of Step-Indexed Separation Logic
pldi.40,paper-perceus,Q&A for the PLDI paper Perceus: Garbage Free Reference Counting with Reuse
pldi.43,paper-proof-repair-across-type-equivalences,Q&A for the PLDI paper Proof Repair across Type Equivalences
pldi.44,paper-compilerassisted-object-inlining-with-value-fields,Q&A for the PLDI paper Compiler-Assisted Object Inlining with Value Fields
pldi.45,paper-unleashing-hidden-power-compiler-optimization,Q&A for the PLDI paper Unleashing the Hidden Power of Compiler Optimization on Binary Code Difference: An Empirical Study
pldi.67,paper-refinedc,Q&A for the PLDI paper RefinedC: Automating the Foundational Verification of C Code with Refined Ownership Types
pldi.72,paper-wire-sorts,Q&A for the PLDI paper Wire Sorts: A Language Abstraction for Safe Hardware Composition
pldi.76,paper-deepcuts,Q&A for the PLDI paper DeepCuts: A Deep Learning Optimization Framework for Versatile GPU Workloads
pldi.82,paper-retrofitting-effect-handlers-onto-ocaml,Q&A for the PLDI paper Retrofitting Effect Handlers onto OCaml
pldi.83,paper-unqomp,Q&A for the PLDI paper Unqomp: Synthesizing Uncomputation in Quantum Circuits
pldi.92,paper-zooid,Q&A for the PLDI paper Zooid: A DSL for Certified Multiparty Computation: From Mechanised Metatheory to Certified Multiparty Processes
pldi.99,paper-fluid,Q&A for the PLDI paper Fluid: A Framework for Approximate Concurrency via Controlled Dependency Relaxation
pldi.106,paper-developer-usertransparent-compiler-optimization-interactive,Q&A for the PLDI paper Developer and User-Transparent Compiler Optimization for Interactive Applications
pldi.111,paper-demanded-abstract-interpretation,Q&A for the PLDI paper Demanded Abstract Interpretation
pldi.112,paper-learning-find-naming-issues-big,Q&A for the PLDI paper Learning to Find Naming Issues with Big Code and Small Supervision
pldi.115,paper-diy-assistant,Q&A for the PLDI paper DIY Assistant: A Multi-modal End-User Programmable Virtual Assistant
